Date,Close,High,Low,Open,Volume
2021-10-01,140.1464,140.41167,136.66854,139.40957,94639600
2021-10-04,136.6980,139.71411,135.84326,139.27199,98322000
2021-10-05,138.6334,139.74361,136.91415,137.04187,80861100
2021-10-06,139.5078,139.65519,135.94153,137.02223,83221100
2021-10-07,140.7752,141.68889,140.21522,140.54925,61732700
2021-10-08,140.3920,141.64956,140.05800,141.50220,58773200
2021-10-11,140.3036,142.26852,139.32117,139.77310,64452200
2021-10-12,139.0264,140.73590,138.56468,140.71624,73035900
2021-10-13,138.4370,138.91834,136.75696,138.76116,78762700
2021-10-14,141.2369,141.35483,139.02641,139.61589,69907100
2021-10-15,142.2980,142.35690,140.99130,141.24675,67940300
2021-10-18,143.9780,144.26287,140.64746,140.93237,85589200
2021-10-19,146.1492,146.55198,143.97797,144.42988,76378900
2021-10-20,146.6404,147.12180,145.52040,146.09023,58418800
2021-10-21,146.8565,147.01372,145.27478,146.19828,61421000
2021-10-22,146.0804,147.54425,146.03129,147.06286,58883400
2021-10-25,146.0313,146.74846,145.02918,146.07057,50720600
2021-10-26,146.6994,148.19267,146.39478,146.70918,60893400
2021-10-27,146.2376,147.10217,145.88394,146.73867,56094900
2021-10-28,149.8923,150.48176,147.09232,147.19057,100077900
2021-10-29,147.1709,147.30846,143.84041,144.63619,124953200
2021-11-01,146.3457,147.07268,145.20603,146.37514,74588300
2021-11-02,147.3871,148.90988,146.04112,146.05095,69122000
2021-11-03,148.8313,149.30286,147.19059,147.75058,54511500
2021-11-04,148.3106,149.75478,147.99620,148.91971,60394600
2021-11-05,148.8419,149.74703,147.64152,149.44203,65463900
2021-11-08,148.0154,149.12720,147.73993,148.96978,55020900
2021-11-09,148.3794,148.98943,147.64151,147.77926,56787900
2021-11-10,145.5360,147.71040,145.46715,147.60217,65187100
2021-11-11,145.4868,147.02169,145.29989,146.55928,41000000
2021-11-12,147.5726,147.97603,145.10309,146.03778,63804000
2021-11-15,147.5825,149.43219,147.02167,147.94652,59222800
2021-11-16,148.5664,149.04848,146.93313,147.52346,59256200
2021-11-17,151.0163,152.50191,148.55654,148.56638,88807000
2021-11-18,155.3257,156.11276,150.58334,151.23271,137827700
2021-11-19,157.9625,158.42489,154.00725,155.10919,117305600
